incident_key,codigo_postal,crime_type,centroid_id,centroid_lat,centroid_lon,n_events,resolver_unit_id,resolver_name,resolver_category,resolver_category_label,resolver_lat,resolver_lon,allowed_resolver_categories,route_source,routing_status,distance_meters,duration_seconds,duration_minutes,static_duration_seconds,delay_seconds,encoded_polyline,route_description,generated_at_utc
08500_robo_de_vehiculo_2,08500,Robo de vehículo,2,19.3984567,-99.0754986,591,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,police,google_routes,ok,2061.0,472.0,7.866666666666666,467.0,5.0,qejuBlks{Q[GDo@cXmDiEi@wEhh@mAxMa@xE}AxPaC],Ote. 257 y Av Sur 12,2026-06-06T17:36:31+00:00
06090_robo_en_transporte_1,06090,Robo en transporte,1,19.425744,-99.1329029,487,osm_node_5805382651,Estacion de policia Vigilante,police,Seguridad / vigilancia,19.4201464,-99.1140589,police,google_routes,ok,2714.0,912.0,15.2,483.0,429.0,y_puBre}{Qt@kEVmAeAYyCnQ_ErT@JHPQbAs@vDIl@o@nLy@`OO~Cw@tKKb@sI]yDQ]`DWdEOb@@x@Lf@x@dBTz@@PWfH,Fray Servando Teresa de Mier,2026-06-06T17:36:32+00:00
06300_robo_en_transporte_2,06300,Robo en transporte,2,19.4376634,-99.1470289,312,osm_node_4070639592,Módulo SSP La Pera,police,Seguridad / vigilancia,19.4525276,-99.1396332,police,google_routes,ok,2078.0,865.0,14.416666666666666,562.0,303.0,{ivuBffb|QRZl@dDE`@KZSRWNfANbASf@DdANr@BrJjAnBTnGv@jKdAxUxBfBT?\D\Xh@ZXf@Pb@Br@EhAhApC`D|GvHb@l@Il@,Lerdo,2026-06-06T17:36:34+00:00
08100_robo_en_transporte_2,08100,Robo en transporte,2,19.4149655,-99.0711658,300,osm_node_5786335172,Módulo Judicial,police,Seguridad / vigilancia,19.4201186,-99.0831441,police,google_routes,ok,2590.0,372.0,6.2,315.0,57.0,{~ouBxdw{QiB_AkAy@hBqDl@y@l@k@fAs@hCqAn@i@v@gAdFaI|GgNXe@lBuCdAoBrAwCV{@R_CfAmMt@uI`@sG?q@Yc@OEYDMHkAlP[lEGnAkBQ,Eje 1 Nte.,2026-06-06T17:36:34+00:00
06060_robo_en_transporte_1,06060,Robo en transporte,1,19.4327145,-99.1327014,254,osm_node_4687361077,Seguridad / vigilancia,police,Seguridad / vigilancia,19.4364751,-99.1314879,police,google_routes,ok,781.0,327.0,5.45,217.0,110.0,mesuBvr`|Q{@rLQjDGh@nM|@lBLZwE,Luis González Obregón,2026-06-06T17:36:36+00:00
11870_robo_en_transporte_1,11870,Robo en transporte,1,19.4021426,-99.1873504,245,osm_node_473196179,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3938131,-99.178017,police,google_routes,ok,2532.0,820.0,13.666666666666666,655.0,165.0,szjuBpui|QE\uB|JQH}@n@m@pAU^eA~@k@d@iHvEwCtBiKxIKLI`AOd@]`@oAp@MFEHsCrAYTeEnBq@?YKcAe@]CSDOLWl@EhKNZXL\?v@JNFbDJJcEAw@HWBaATSTIP?RFbF`CBO_FcC{@e@,Puente de La Morena,2026-06-06T17:36:37+00:00
06720_secuestro_1,06720,Secuestro,1,19.4190636,-99.1488712,25,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,1777.0,421.0,7.016666666666667,466.0,-45.0,ojnuBd~e|QHe@?eCOuJAuFGOp@}IlAcOaUoCoDc@}HaAsBWaGu@,C. Dr.Márquez y Dr. Jimenez,2026-06-06T17:36:38+00:00
06700_secuestro_1,06700,Secuestro,1,19.4180762,-99.1626735,24,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,1766.0,564.0,9.4,556.0,8.0,ojnuBd~e|QHe@?eC_BVd@rDVdClBlPkLnBiEr@a@L}Q|C_Df@{AY_AmGjFw@,Coahuila y Monterrey/Eje 2 Pte,2026-06-06T17:36:39+00:00
06300_secuestro_1,06300,Secuestro,1,19.4451793,-99.1430063,23,osm_node_4070639592,Módulo SSP La Pera,police,Seguridad / vigilancia,19.4525276,-99.1396332,police,google_routes,ok,1056.0,273.0,4.55,295.0,-22.0,{ivuBffb|QRZl@dDE`@KZSRWNfANbASf@DdANr@BrJjAnBTnGv@jKdAQlB,Lerdo,2026-06-06T17:36:40+00:00
02950_secuestro_1,02950,Secuestro,1,19.4701668,-99.1590716,20,osm_node_6296180484,Modulo de Policía Coltongo,police,Seguridad / vigilancia,19.4813359,-99.1524861,police,google_routes,ok,1822.0,427.0,7.116666666666666,448.0,-21.0,w|{uBjvd|Q[r@IPFVwAfHxCr@dD|@nXdCrNxAO~I|NvAHGh@H`EXYpB,C. 10,2026-06-06T17:36:42+00:00
08500_secuestro_1,08500,Secuestro,1,19.393573,-99.0720819,18,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,police,google_routes,ok,1335.0,288.0,4.8,320.0,-32.0,qejuBlks{Q[GDo@kMcBcHdv@`Dd@,Sur 16,2026-06-06T17:36:43+00:00
08500_violencia_familiar_1,08500,Violencia familiar,1,19.3919323,-99.065998,479,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,"police,hospital",google_routes,ok,375.0,93.0,1.55,106.0,-13.0,qejuBlks{Q[GqAbNqDg@,Sur 20 y Ote. 253/Eje 6 Ote,2026-06-06T17:36:44+00:00
04369_violencia_familiar_2,04369,Violencia familiar,2,19.3318923,-99.166435,478,osm_node_11788866069,Centro de Salud T.I Copilco el Alto,hospital,Salud / emergencia medica,19.33267,-99.1775931,"police,hospital",google_routes,ok,1416.0,448.0,7.466666666666667,430.0,18.0,}{~tBjsi|Qt@c@f@e@[Ya@iAPYTw@He@Hq@J_@\c@PQbAqAk@_@_@_@aAmAiAc@EGM}@OyCEcArA{GzDaRtAeHqD}@@M,Av. Escuinapa,2026-06-06T17:36:46+00:00
08500_violencia_familiar_2,08500,Violencia familiar,2,19.3969733,-99.0754842,450,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,"police,hospital",google_routes,ok,2076.0,476.0,7.933333333333334,473.0,3.0,qejuBlks{Q[GDo@cXmDiEi@wEhh@mAxMa@xE}AxPxCb@,Ote. 257 y Av Sur 12,2026-06-06T17:36:46+00:00
04369_violencia_familiar_1,04369,Violencia familiar,1,19.3233642,-99.1684602,404,osm_node_11788866069,Centro de Salud T.I Copilco el Alto,hospital,Salud / emergencia medica,19.33267,-99.1775931,"police,hospital",google_routes,ok,2113.0,534.0,8.9,562.0,-28.0,}{~tBjsi|Qt@c@f@e@[Ya@iAPYTw@He@Hq@J_@\c@PQbAqAZEjALJ_@n@cAd@Qh@KUkBI{@tDUr@?jBFJYCUCGyABmAHKmBA_ABWh@_CMC~@gETiANo@VsAnJbCvD~@jCv@f@sAzC_HhAkC~Bj@,Copal,2026-06-06T17:36:48+00:00
06720_violencia_familiar_2,06720,Violencia familiar,2,19.422995,-99.1481481,381,osm_node_4425468090,Instituto Oftalmologia,hospital,Salud / emergencia medica,19.4225708,-99.1418319,"police,hospital",google_routes,ok,942.0,249.0,4.15,263.0,-14.0,klpuBjsb|QAw@vDRm@`O{@|PUrF_Eg@,C. Dr. Liceaga,2026-06-06T17:36:49+00:00
