codigo_postal,crime_type,centroid_id,centroids_in_group,centroid_lon,centroid_lat,n_events,pct_events_group,radius_p50_m,radius_p90_m,kmeans_reason,d_codigo
01310,Daño a la propiedad,1,1,-99.2542254,19.3803597,16,100.0,431.8,1058.7,k=1 porque n=16 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Delitos sexuales,1,1,-99.2535205,19.3802485,2,100.0,121.5,121.5,k=1 porque n=2 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Fraude y extorsión,1,1,-99.2533315,19.3799087,9,100.0,203.8,675.4,k=1 porque n=9 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Homicidio,1,1,-99.2562399,19.3794022,3,100.0,472.4,646.8,k=1 porque n=3 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Lesiones,1,1,-99.2570637,19.3784945,2,100.0,555.1,555.1,k=1 porque n=2 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Otros incidentes,1,1,-99.2538325,19.3796255,23,100.0,208.1,1026.2,k=1 porque n=23 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Otros robos,1,1,-99.2553843,19.3788241,11,100.0,735.3,848.9,k=1 porque n=11 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Robo a casa habitación,1,1,-99.2548542,19.3784517,3,100.0,62.6,105.9,k=1 porque n=3 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Robo a negocio,1,1,-99.252839,19.3802561,19,100.0,323.3,1050.6,k=1 porque n=19 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Robo a transeúnte,1,1,-99.2565549,19.3783058,10,100.0,579.2,1177.4,k=1 porque n=10 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Robo de vehículo,1,1,-99.2560627,19.3787902,23,100.0,293.4,1005.1,k=1 porque n=23 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Robo en transporte,1,1,-99.258339,19.3767183,1,100.0,0.0,0.0,k=1 porque n=1 < MIN_EVENTS_TO_SPLIT=25,01310
01310,Violencia familiar,1,1,-99.2551589,19.3788673,2,100.0,726.9,726.9,k=1 porque n=2 < MIN_EVENTS_TO_SPLIT=25,01310
01320,Amenazas,1,1,-99.2497701,19.3795716,8,100.0,130.1,296.8,k=1 porque n=8 < MIN_EVENTS_TO_SPLIT=25,01320
01320,Daño a la propiedad,1,1,-99.2490337,19.3792187,18,100.0,214.2,437.1,k=1 porque n=18 < MIN_EVENTS_TO_SPLIT=25,01320
01320,Delitos sexuales,1,1,-99.2482124,19.3795612,2,100.0,244.4,244.4,k=1 porque n=2 < MIN_EVENTS_TO_SPLIT=25,01320
01320,Fraude y extorsión,1,1,-99.2484782,19.3796288,23,100.0,270.0,367.0,k=1 porque n=23 < MIN_EVENTS_TO_SPLIT=25,01320
01320,Homicidio,1,1,-99.2500544,19.3795634,2,100.0,225.2,225.2,k=1 porque n=2 < MIN_EVENTS_TO_SPLIT=25,01320
01320,Lesiones,1,1,-99.2489135,19.3794224,13,100.0,193.9,342.6,k=1 porque n=13 < MIN_EVENTS_TO_SPLIT=25,01320
01320,Narcomenudeo,1,1,-99.2483162,19.3790907,3,100.0,83.8,150.4,k=1 porque n=3 < MIN_EVENTS_TO_SPLIT=25,01320
01320,Otros incidentes,1,1,-99.2487179,19.3792904,25,100.0,192.9,327.1,k=1 porque n=25 no alcanza MIN_EVENTS_PER_CENTROID=15,01320
